date,codes,names,infected
2020-03-27,ATY,Atyrau oblysy,3
2020-03-27,VOS,Shyghys Qazaqstan oblysy,0
2020-03-27,ZHA,Zhambyl oblysy,3
2020-03-27,ZAP,Batys Qazaqstan oblysy,0
2020-03-27,KAR,Qaraghandy oblysy,4
2020-03-27,KUS,Qostanay oblysy,0
2020-03-27,KZY,Qyzylorda oblysy,0
2020-03-27,MAN,Mangghystau oblysy,1
2020-03-27,PAV,Pavlodar oblysy,1
2020-03-27,SEV,Soltustik Qazaqstan oblysy,1
2020-03-27,YUS,Turkistan oblysy,0
2020-03-28,KAZ,Kazakhstan,228
2020-03-28,AST,Nur-Sultan,135
2020-03-28,ALA,Almaty,59
2020-03-28,SHY,Shymkent,2
2020-03-28,AKM,Aqmola oblysy,6
2020-03-28,AKT,Aqtobe oblysy,1
2020-03-28,ALM,Almaty oblysy,4
2020-03-28,ATY,Atyrau oblysy,5
2020-03-28,VOS,Shyghys Qazaqstan oblysy,2
2020-03-28,ZHA,Zhambyl oblysy,3
2020-03-28,ZAP,Batys Qazaqstan oblysy,0
2020-03-28,KAR,Qaraghandy oblysy,7
2020-03-28,KUS,Qostanay oblysy,0
2020-03-28,KZY,Qyzylorda oblysy,1
2020-03-28,MAN,Mangghystau oblysy,1
2020-03-28,PAV,Pavlodar oblysy,1
2020-03-28,SEV,Soltustik Qazaqstan oblysy,1
2020-03-28,YUS,Turkistan oblysy,0
2020-03-29,KAZ,Kazakhstan,283
2020-03-29,AST,Nur-Sultan,167
2020-03-29,ALA,Almaty,70
2020-03-29,SHY,Shymkent,2
2020-03-29,AKM,Aqmola oblysy,6
2020-03-29,AKT,Aqtobe oblysy,1
2020-03-29,ALM,Almaty oblysy,6
2020-03-29,ATY,Atyrau oblysy,12
2020-03-29,VOS,Shyghys Qazaqstan oblysy,2
2020-03-29,ZHA,Zhambyl oblysy,3
2020-03-29,ZAP,Batys Qazaqstan oblysy,2
2020-03-29,KAR,Qaraghandy oblysy,7
2020-03-29,KUS,Qostanay oblysy,0
2020-03-29,KZY,Qyzylorda oblysy,2
2020-03-29,MAN,Mangghystau oblysy,1
2020-03-29,PAV,Pavlodar oblysy,1
2020-03-29,SEV,Soltustik Qazaqstan oblysy,1
2020-03-29,YUS,Turkistan oblysy,0
2020-03-30,KAZ,Kazakhstan,302
2020-03-30,AST,Nur-Sultan,168
2020-03-30,ALA,Almaty,73
2020-03-30,SHY,Shymkent,2
2020-03-30,AKM,Aqmola oblysy,9
